household_ID,SumOfAppliances
ID1210,22.5
ID1211,307.25
ID1212,350.5
ID1213,184.41
ID1214,239.33
ID1215,261.25
ID1216,201.0
ID1217,179.3
ID1218,2.0
ID1219,174.75
ID1220,168.75
ID1221,176.0
ID1222,135.48
ID1223,217.75
ID1224,235.0
ID1225,244.465
ID1226,40.0
ID1227,175.31
ID1228,176.0
ID1229,215.35
ID1230,212.0
ID1231,233.5
ID1232,190.308
ID1233,103.75
ID1234,188.74
ID1235,174.32
ID1236,191.75
ID1237,182.58
ID1238,218.5
ID1239,21.5
ID1240,225.0
ID1241,193.5
ID1242,1.0
ID1243,172.25
ID1244,198.4
ID1245,85.0
ID1246,206.96
ID1247,190.16
ID1248,184.0
ID1249,468.27
ID1250,78.16
ID1251,196.88
ID1252,13.83
ID1253,90.98
ID1254,198.11
ID1255,182.89
ID1256,253.0
ID1257,210.75
ID1258,271.08
ID1259,151.0
ID1260,224.0
ID1261,208.13
ID1262,307.42
ID1263,194.58
ID1264,174.5
ID1265,185.32
ID1266,44.0
ID1267,206.0
ID1268,172.0
ID1269,127.0
ID1270,88.5
ID1271,358.95
ID1272,146.25
ID1273,288.05
ID1274,210.0
ID1275,1.7
ID1276,210.0
ID1277,238.25
ID1278,211.0
ID1279,199.3
ID1280,127.5
ID1281,228.25
ID1282,363.0
ID1283,173.25
ID1284,235.2
ID1285,14.0
ID1286,202.075
ID1287,317.02
ID1288,189.0
ID1289,185.75
ID1290,196.49
ID1291,130.3
ID1292,245.13
ID1293,171.0
ID1294,295.0
ID1295,28.0
ID1296,212.97
ID1297,4.5
ID1298,81.0
ID1299,198.0
ID1300,208.033
ID1301,213.95
ID1302,221.0
ID1303,140.0
ID1304,170.25
ID1305,201.0
ID1306,103.5
ID1307,259.5
ID1309,40.0
ID1310,171.0
ID1311,8.0
ID1312,178.5
ID1313,71.0
ID1314,247.0
ID1315,185.83
ID1316,228.6
ID1317,70.66
ID1318,9.0
ID1319,169.58
ID1320,193.33
ID1321,233.75
ID1322,178.0
ID1323,408.88
ID1324,72.0
ID1325,177.0
ID1326,87.3
ID1327,167.33
ID1328,224.56
ID1329,232.5
ID1330,175.25
ID1331,28.75
ID1332,43.0
ID1333,148.15
ID1334,199.89
ID1335,191.0
ID1336,300.0
ID1337,188.75
ID1338,199.93
ID1339,115.0
ID1340,13.25
ID1341,12.0
ID1342,239.15
ID1343,89.0
ID1344,190.5
ID1345,186.0
ID1346,180.6
ID1347,179.315
ID1348,20.0
ID1349,229.5
ID1350,98.0
ID1351,197.825
ID1352,169.0
ID1353,220.5
ID1354,178.63
ID1355,130.05
ID1356,233.0
ID1357,217.6
ID1358,170.99
ID1359,186.0
ID1360,161.0
ID1361,45.25
ID1362,298.67
ID1363,199.97
ID1364,178.16
ID1365,51.0
ID1366,161.0
ID1367,198.5
ID1368,201.0
ID1369,199.56
ID1370,364.71
ID1371,94.8
ID1372,183.75
ID1373,96.75
ID1374,253.5
ID1375,211.0
ID1376,210.5
ID1377,204.9
ID1378,218.16
ID1379,203.99
ID1380,94.0
ID1381,205.62
ID1382,183.25
ID1383,203.25
ID1384,220.5
ID1385,204.0
ID1386,21.0
ID1387,203.0
ID1388,258.35
ID1389,203.9
ID1390,16.75
ID1391,123.5
ID1392,217.0
ID1393,442.0
ID1394,197.0
ID1395,235.5
ID1396,51.1
ID1397,260.0
ID1398,211.5
ID1399,301.25
ID1400,218.75
ID1401,22.0
ID1402,63.5
ID1403,1.0
ID1404,199.0
ID1405,270.0
ID1406,187.0
ID1407,194.25
ID1408,221.35
ID1409,159.0
ID1410,247.25
ID1411,241.5
ID1412,17.83
ID1413,199.08
ID1414,265.16
ID1415,199.06
ID1416,20.0
ID1417,179.75
ID1418,256.25
ID1419,64.5
ID1420,221.57
ID1421,242.0
ID1422,2.421
ID1423,151.0
ID1424,152.75
ID1425,257.75
ID1426,169.33
ID1427,144.58
ID1428,0.12
ID1429,205.4
