household_ID,NoOfHoursStay
ID1222,665.0
ID1223,194.0
ID1224,240.0
ID1225,546.0
ID1226,168.0
ID1227,230.0
ID1228,504.0
ID1229,792.0
ID1230,466.0
ID1231,592.0
ID1232,170.0
ID1233,193.0
ID1234,161.0
ID1235,240.5
ID1236,507.0
ID1237,639.5
ID1238,840.0
ID1239,100.0
ID1240,113.0
ID1241,696.0
ID1242,310.0
ID1243,665.0
ID1244,707.0
ID1245,592.0
ID1246,305.0
ID1247,406.0
ID1248,378.0
ID1249,576.0
ID1250,609.0
ID1251,790.0
ID1252,405.0
ID1253,508.0
ID1254,818.0
ID1255,564.0
ID1256,336.0
ID1257,289.0
ID1258,721.0
ID1259,98.0
ID1260,565.025
ID1261,281.0
ID1262,488.0
ID1263,533.0
ID1264,389.0
ID1265,1106.0
ID1266,544.0
ID1267,408.0
ID1268,351.0
ID1269,224.0
ID1270,692.0
ID1271,446.0
ID1272,592.0
ID1273,663.0
ID1274,530.0
ID1275,168.0
ID1276,476.0
ID1277,835.0
ID1278,327.0
ID1279,875.0
ID1280,564.0
ID1281,715.0
ID1282,344.0
ID1283,854.0
ID1284,720.0
ID1285,318.0
ID1286,846.0
ID1287,755.0
ID1288,1040.0
ID1289,395.0
ID1290,738.0
ID1291,656.0
ID1292,603.0
ID1293,1201.0
ID1294,1295.0
ID1295,552.0
ID1296,522.0
ID1297,210.0
ID1298,922.0
ID1299,660.0
ID1300,456.0
ID1301,637.0
ID1302,798.0
ID1303,1014.0
ID1304,840.0
ID1305,588.0
ID1306,784.0
ID1307,504.0
ID1308,144.0
ID1309,490.0
ID1310,665.0
ID1311,755.0
ID1312,271.0
ID1313,612.0
ID1314,876.0
ID1315,571.0
ID1316,528.0
ID1317,225.0
ID1318,512.0
ID1319,504.0
ID1320,238.0
ID1321,393.0
ID1322,1325.0
ID1323,480.0
ID1324,790.0
ID1325,320.0
ID1326,200.0
ID1327,637.0
ID1328,673.0
ID1329,363.0
ID1330,525.0
ID1331,768.0
ID1332,546.0
ID1333,945.0
ID1334,942.5
ID1335,434.0
ID1336,595.0
ID1337,610.0
ID1338,835.0
ID1339,202.0
ID1340,258.0
ID1341,336.0
ID1342,673.0
ID1343,156.0
ID1344,552.0
ID1345,1110.0
ID1346,476.0
ID1347,479.0
ID1348,576.0
ID1349,544.0
ID1350,756.0
ID1351,627.0
ID1352,384.0
ID1353,336.0
ID1354,86.5
ID1355,918.0
ID1356,335.0
ID1357,259.0
ID1358,336.0
ID1359,3.0
ID1360,398.0
ID1361,357.0
ID1362,416.0
ID1363,374.0
ID1364,530.0
ID1365,556.0
ID1366,588.0
ID1367,682.0
ID1368,323.0
ID1369,336.0
ID1370,358.0
ID1371,701.0
ID1372,672.0
ID1373,444.0
ID1374,951.0
ID1375,252.0
ID1376,504.0
ID1377,459.0
ID1378,596.75
ID1379,788.5
ID1380,830.0
ID1381,826.0
ID1382,615.0
ID1383,568.0
ID1384,312.0
ID1385,504.0
ID1386,168.0
ID1387,496.0
ID1388,536.0
ID1389,733.0
ID1390,179.0
ID1391,216.0
ID1392,644.0
ID1393,454.0
ID1394,326.0
ID1395,261.0
ID1396,558.0
ID1397,588.0
ID1398,608.0
ID1399,651.0
ID1400,456.0
ID1401,453.0
ID1402,836.0
ID1403,294.0
ID1404,324.0
ID1405,504.0
ID1406,336.0
ID1407,252.0
ID1408,726.0
ID1409,140.0
ID1410,924.0
ID1411,526.0
ID1412,596.0
ID1413,595.0
ID1414,413.5
ID1415,566.0
ID1416,545.0
ID1417,606.0
ID1418,585.0
ID1419,734.0
ID1420,539.0
ID1421,678.0
ID1422,810.0
ID1423,577.0
ID1424,719.0
ID1425,514.25
ID1426,420.0
ID1427,592.0
ID1428,406.0
ID1429,300.0
ID1430,168.0
ID1431,514.0
ID1432,320.0
ID1433,380.0
ID1434,336.0
ID1435,380.0
ID1436,280.0
ID1437,304.0
ID1438,125.0
ID1439,336.0
ID1440,466.0
ID1441,296.0
ID1442,665.0
ID1443,328.0
ID1444,709.0
ID1445,554.0
ID1446,238.0
ID1447,200.0
ID1448,380.0
ID1449,894.0
ID1450,490.0
ID1451,730.0
ID1452,476.0
ID1453,634.0
ID1454,632.0
ID1455,634.0
ID1456,579.0
ID1457,763.0
ID1458,599.0
ID1459,576.0
ID1460,672.0
ID1461,611.0
ID1462,328.0
ID1463,160.0
ID1464,168.0
ID1465,273.0
ID1466,1000.0
ID1467,260.0
ID1468,330.0
ID1469,597.0
ID1470,504.0
ID1471,696.0
ID1472,700.0
ID1473,504.0
ID1474,859.0
ID1475,234.0
ID1476,666.0
ID1477,558.0
ID1478,733.0
ID1479,525.75
ID1480,312.0
ID1481,725.0
ID1482,446.0
ID1483,336.0
ID1484,856.0
ID1485,864.0
ID1486,384.0
ID1487,951.0
ID1488,476.0
ID1489,409.0
ID1490,724.0
ID1491,534.0
ID1492,408.0
ID1493,378.0
ID1494,456.0
ID1495,288.0
ID1496,797.0
ID1497,572.0
ID1498,336.0
ID1499,426.0
ID1500,862.0
ID1501,432.0
ID1502,581.0
ID1503,340.0
ID1504,420.0
ID1505,578.0
ID1506,382.0
ID1507,588.0
ID1508,537.0
ID1509,164.0
ID1510,328.0
ID1511,120.0
ID1512,462.0
ID1513,336.0
ID1514,463.0
ID1515,287.0
ID1516,1008.0
ID1517,589.5
ID1518,664.0
ID1519,273.0
ID1520,588.0
ID1521,619.0
ID1522,67.0
ID1523,535.7
ID1524,534.0
ID1525,383.0
ID1526,402.0
ID1527,336.0
ID1528,539.0
ID1529,367.0
ID1530,230.0
ID1531,420.0
ID1532,381.0
ID1533,501.75
ID1534,762.0
ID1535,764.0
ID1536,642.0
ID1537,322.0
ID1538,300.0
ID1539,161.0
